iter	Logloss
0	0.6876215187
1	0.6840619205
2	0.6792888846
3	0.675738538
4	0.6708617735
5	0.6656071072
6	0.6623224572
7	0.6581872181
8	0.6540214812
9	0.6498880762
10	0.6457457061
11	0.6418775552
12	0.6380700165
13	0.6345755461
14	0.6315530894
15	0.6284904754
16	0.6242336834
17	0.6210347295
18	0.6184117265
19	0.6149307354
20	0.6114759622
21	0.6092316589
22	0.6071951886
23	0.6044462026
24	0.6008806661
25	0.5977088923
26	0.5950786324
27	0.5924819803
28	0.58954794
29	0.586619503
30	0.584459071
31	0.5824671511
32	0.5806858442
33	0.5789298492
34	0.5762684456
35	0.5745414853
36	0.5730238444
37	0.5706130843
38	0.5687367489
39	0.5665430507
40	0.5647193293
41	0.5628965088
42	0.5598401039
43	0.557927805
44	0.5567350813
45	0.554588164
46	0.5520769919
47	0.5503554855
48	0.5481798802
49	0.5466181878
50	0.5446510647
51	0.5425812413
52	0.5404057093
53	0.5384921887
54	0.537469779
55	0.5364269812
56	0.5350179301
57	0.5334030965
58	0.5314597656
59	0.5299305904
60	0.527912907
61	0.5265761618
62	0.5252882724
63	0.5236670958
64	0.5222548558
65	0.5204773303
66	0.5184030075
67	0.5168745763
68	0.5159757402
69	0.5151052954
70	0.5127757437
71	0.5118048314
72	0.5097024564
73	0.5081802602
74	0.5069609808
75	0.505048604
76	0.5034557936
77	0.502647541
78	0.5007791838
79	0.4989095591
80	0.4983995805
81	0.4971652325
82	0.4959469522
83	0.4948301342
84	0.4938509005
85	0.4927569424
86	0.4905656133
87	0.4895163062
88	0.4874877866
89	0.48550561
90	0.4843226066
91	0.4828512762
92	0.4817257116
93	0.4807650814
94	0.4790955722
95	0.4764598107
96	0.4752320635
97	0.4744752859
98	0.4734939402
99	0.4714169599
100	0.4703333551
101	0.4691988846
102	0.4681629786
103	0.4672850371
104	0.4656261236
105	0.4642149427
106	0.4632155754
107	0.4617703889
108	0.4606292464
109	0.4597993104
110	0.4588287299
111	0.4582893233
112	0.4570706544
113	0.4564533985
114	0.4556437431
115	0.4545373358
116	0.4537763886
117	0.4525283668
118	0.4512071962
119	0.450549825
120	0.4494393049
121	0.448378288
122	0.446787771
123	0.4458261242
124	0.4442824491
125	0.4436901238
126	0.4429910287
127	0.4407642482
128	0.4400247773
129	0.4392108583
130	0.4380280843
131	0.4369983995
132	0.4357883913
133	0.4345258632
134	0.4333380229
135	0.4323416863
136	0.4312991128
137	0.4302069585
138	0.42817806
139	0.4265093405
140	0.4254190501
141	0.4235281091
142	0.4219522956
143	0.4212135135
144	0.4200941304
145	0.4178567542
146	0.4166007074
147	0.4155809424
148	0.4145928546
149	0.4134996009
150	0.4125930434
151	0.4120525577
152	0.4111583144
153	0.4102318241
154	0.4094463276
155	0.4081802812
156	0.4074255346
157	0.4065503244
158	0.4059249514
159	0.4052073869
160	0.4040771159
161	0.403241465
162	0.4021022369
163	0.4005428484
164	0.3993124774
165	0.3985069937
166	0.397605004
167	0.395721802
168	0.3949405057
169	0.394164649
170	0.3935193141
171	0.3924352652
172	0.391343497
173	0.3906452047
174	0.3902992023
175	0.3893280819
176	0.3887675182
177	0.3877798798
178	0.3871772607
179	0.3860393424
180	0.3847997071
181	0.3844183507
182	0.3840996522
183	0.3832977757
184	0.3823302101
185	0.381105304
186	0.3799497335
187	0.3793633445
188	0.3786100082
189	0.3774155758
190	0.3755977246
191	0.3746492269
192	0.3734113671
193	0.3725853884
194	0.3719496005
195	0.3709812322
196	0.3704971144
197	0.3692703342
198	0.3679800922
199	0.3667522446
200	0.3656903753
201	0.3647973401
202	0.3641689752
203	0.3636291455
204	0.3630927095
205	0.3621916499
206	0.3612016271
207	0.3605325403
208	0.3596014859
209	0.3587095677
210	0.3577832301
211	0.3568223482
212	0.3559765161
213	0.355460129
214	0.3535342238
215	0.3527373856
216	0.3520642161
217	0.3507220765
218	0.3497043562
219	0.3492281956
