iter	Passed	Remaining
0	1	277
1	2	243
2	3	230
3	4	224
4	5	221
5	6	222
6	7	217
7	8	216
8	9	213
9	10	230
10	12	232
11	13	234
12	14	230
13	15	228
14	17	235
15	18	234
16	19	235
17	20	233
18	22	239
19	23	235
20	24	232
21	25	231
22	27	232
23	29	237
24	30	235
25	31	232
26	32	231
27	34	236
28	35	236
29	37	235
30	38	234
31	39	231
32	41	234
33	43	235
34	44	235
35	46	236
36	48	240
37	50	241
38	52	245
39	54	247
40	55	244
41	57	243
42	59	245
43	60	243
44	62	243
45	63	240
46	66	242
47	68	244
48	69	242
49	70	240
50	72	240
51	74	239
52	75	237
53	76	236
54	78	235
55	80	235
56	82	234
57	84	234
58	85	232
59	86	230
60	87	228
61	89	228
62	91	227
63	92	225
64	94	225
65	95	223
66	98	224
67	99	222
68	100	220
69	101	218
70	102	215
71	103	213
72	105	211
73	107	211
74	109	212
75	111	211
76	113	211
77	114	209
78	116	207
79	117	205
80	120	206
81	122	206
82	123	204
83	125	202
84	127	201
85	128	200
86	129	198
87	130	196
88	131	193
89	132	191
90	135	191
91	137	190
92	138	189
93	140	188
94	142	187
95	144	186
96	145	183
97	146	182
98	148	181
99	149	179
100	150	177
101	152	176
102	153	174
103	154	172
104	156	171
105	157	169
106	158	167
107	161	167
108	162	165
109	164	164
110	165	162
111	166	160
112	169	160
113	169	158
114	171	156
115	172	154
116	174	153
117	176	152
118	177	150
119	178	148
120	179	146
121	180	145
122	182	143
123	184	143
124	186	141
125	187	140
126	188	138
127	190	136
128	192	135
129	193	134
130	194	132
131	195	130
132	197	128
133	198	127
134	200	126
135	201	124
136	204	123
137	205	122
138	208	121
139	209	119
140	211	118
141	212	116
142	213	115
143	215	113
144	217	112
145	218	110
146	220	109
147	221	107
148	223	106
149	224	104
150	226	103
151	227	101
152	229	100
153	231	99
154	232	97
155	234	96
156	235	94
157	236	92
158	237	91
159	239	89
160	240	88
161	242	86
162	243	85
163	245	83
164	247	82
165	248	80
166	250	79
167	251	77
168	253	76
169	254	74
170	254	73
171	256	71
172	258	70
173	259	68
174	261	67
175	262	65
176	264	64
177	266	62
178	268	61
179	269	59
180	271	58
181	272	56
182	274	55
183	276	54
184	278	52
185	280	51
186	282	49
187	283	48
188	284	46
189	285	45
190	287	43
191	289	42
192	291	40
193	292	39
194	294	37
195	295	36
196	298	34
197	300	33
198	301	31
199	302	30
200	303	28
201	305	27
202	306	25
203	308	24
204	310	22
205	311	21
206	313	19
207	314	18
208	315	16
209	316	15
210	318	13
211	321	12
212	322	10
213	324	9
214	325	7
215	327	6
216	328	4
217	329	3
218	331	1
219	332	0
